Food_group,Item,Final Call,Rationale
Dry fruits & nuts,Almond,Take,Increases Lactobacillus
Fruits,Apple,Take,"Increases Lactobacillus, Increases Dorea"
Fruits,Avocado,Avoid,Increases Faecalibacterium
Fruits,Banana,Avoid,Increases Bacteroides
Fruits,Berries,Take,Increases Lactobacillus
Fruits,Berries’ polyphenols,,
Others,Black Tea,Take,"Decreases Bacteroides, Increases Lactobacillus"
Others,Carrot,Avoid,"Increases Bacteroides, Decreases Ruminococcus"
Seeds,Chia,Take,Increases Lactobacillus
Others,Chokeberry,Avoid,Increases Bacteroides
Milk & milk products,Conventional soy milk (26.5% β-conglycinin/38.7% glycinin),Avoid,Decrease Lactobacillus
Spices,Curcumin,Avoid,"Increases Bacteroides, Decreases Ruminococcus"
Milk & milk products,Fermented soy milk,Avoid,Nutritional Balance
Seeds,Flax Seeds,Take,Decreases Faecalibacterium
Fruits,Grapes,Take,Increases Ruminococcus
Others,Green Tea,Take,"Decreases Bacteroides, Increases Lactobacillus"
Others,Guar gum,Take,"Decreases Streptococcus, Increases Lactobacillus"
Others,Honey,Take,Increases Lactobacillus
Grains,Jowar,Take,Increases Lactobacillus
Others,Kefir,Avoid,Increases Fusicatenibacter
Fruits,Kiwi Fruit Powder,Take,Increases Dorea
Milk & milk products,Low glycinin soy milk (49.5% β-conglycinin/6% glycinin),Avoid,Increase Faecalibacterium
Grains,Moong,Take,"Increases Lactobacillus, Increases Ruminococcus"
Others,Oolong Tea,Take,"Decreases Bacteroides, Increases Lactobacillus"
Others,Orange Juice,Take,Increases Parabacteroides
Fruits,Papaya,Avoid,Increases Bacteroides
Fruits,Pomegranate,Take,Increases Lactobacillus
Others,Psyllium,Avoid,Increases Faecalibacterium
Dry fruits & nuts,Raisin,Take,Increases Ruminococcus
Dry fruits & nuts,Raisins,Take,Increases Ruminococcus
Others,Red wine,Avoid,Increase Bacteroides
Others,Red wine polyphenols,Avoid,Increases Bacteroides
Milk & milk products,Regular soy milk,Avoid,Nutritional Balance
Others,Soy isoflavones,Avoid,Nutritional Balance
Grains,White rice,Avoid,Increases Faecalibacterium
Vegetables,mango peel and paste,Take,"Increases Lactobacillus, Increases Dorea"
Grains,Ragi,Take,Increases Ruminoccocus
Grains,Wheat,Take,Increases Ruminoccocus
Grains,Refined flour,Avoid,Nutritional Balance
Grains,Corn flour,Avoid,Nutritional Balance
Grains,Amaranth,Avoid,Nutritional Balance
Grains,Quinoa,Take,Increases Ruminoccocus
Grains,Buckwheat,Take,Increases Ruminoccocus
Grains,Chickpea,Avoid,Nutritional Balance
Grains,Kidney beans,Avoid,Nutritional Balance
Grains,Horse gram,Take,"Increases Bifidobacterium, Ruminoccocus"
Grains,Lentils,Take,"Increases Bifidobacterium, Ruminoccocus"
Grains,Masoor dal,Take,"Increases Bifidobacterium, Ruminoccocus"
Grains,Sprouted Kala Chana ,Take,"Increases Bifidobacterium, Ruminoccocus"
Grains,Toor dal ,Avoid,Nutritional Balance
Fruits,Pear,Avoid,Nutritional Balance
Fruits,Guava,Take,Increases Ruminoccocus
Fruits,Orange,Take,Increases Ruminoccocus
Fruits,Sweet lime,Take,Increases Ruminoccocus
Fruits,Watermelon,Avoid,Nutritional Balance
Fruits,Persimmons,Take,Increases Ruminoccocus
Fruits,Goose berry,Take,Increases Ruminoccocus
Fruits,Ice apple,Take,Increases Ruminoccocus
Fruits,Custard apple,Avoid,Nutritional Balance
Fruits,Mango ripe,Take,Increases Ruminoccocus
Fruits,Jackfruit,Avoid,Nutritional Balance
Fruits,Muskmelon,Take,Increases Ruminoccocus
Vegetables,Tomato,Take,Increases Ruminoccocus
Vegetables,Onion,Take,Increases Ruminoccocus
Vegetables,cooked & cooled Potato,Avoid,Nutritional Balance
Vegetables,Sweet potato,Avoid,Nutritional Balance
Vegetables,Unripe banana,Avoid,Nutritional Balance
Vegetables,Broccoli,Avoid,Nutritional Balance
Vegetables,Beans,Take,Increases Ruminoccocus
Vegetables,Spinach,Take,Increases Ruminoccocus
Vegetables,Drumstick,Take,Increases Ruminoccocus
Vegetables,Beetroot,Take,Increases Ruminoccocus
Vegetables,Artichoke,Take,Increases Ruminoccocus
Vegetables,Asparagus,Take,Increases Ruminoccocus
Vegetables,Cauliflower,Avoid,Nutritional Balance
Vegetables,Okra,Take,Increases Ruminoccocus
Vegetables,Ivy gourd,Take,Increases Ruminoccocus
Vegetables,Ridge gourd ,Take,Increases Ruminoccocus
Vegetables,Bottle gourd,Take,Increases Ruminoccocus
Vegetables,Pumpkin ,Take,Increases Ruminoccocus
Dry fruits & nuts,Cashews,Avoid,Nutritional Balance
Dry fruits & nuts,Dates,Avoid,Nutritional Balance
Dry fruits & nuts,Dried apricot,Take,Nutritional Balance
Dry fruits & nuts,Prunes,Take,Nutritional Balance
Dry fruits & nuts,Walnuts,Take,Nutritional Balance
Dry fruits & nuts,Fig,Take,Nutritional Balance
Seeds,Flax seeds,Take,Nutritional Balance
Seeds,Sesame seeds,Take,Nutritional Balance
Seeds,Fenugreek seeds,Take,Nutritional Balance
Seeds,Cumin seeds,Take,Nutritional Balance
Seeds,Mustard seeds,Avoid,Nutritional Balance
Spices,Cinnamon,Take,Nutritional Balance
Spices,Cardamom,Take,Nutritional Balance
Spices,Red Chili powder,Avoid,Nutritional Balance
Spices,Garam masala,Avoid,Nutritional Balance
Spices,Ginger,Take,Nutritional Balance
Meat,Egg,Take,Nutritional Balance
Meat,Fish ,Take,Nutritional Balance
Meat,Chicken,Take,Nutritional Balance
Meat,Mutton,Avoid,Nutritional Balance
Meat,Beef,Avoid,Nutritional Balance
Meat,Pork,Avoid,Nutritional Balance
Others,White sugar,Avoid,Nutritional Balance
Others,Jaggery,Avoid,Nutritional Balance
Others,Chamomile tea,Take,Nutritional Balance
Others,Foxnuts,Take,Nutritional Balance
Others,Soya chunks,Avoid,Nutritional Balance
Milk & Milk products,Tofu,Avoid,Nutritional Balance
Milk & Milk products,Paneer,Take,Nutritional Balance
Milk & Milk products,Coconut milk,Avoid,Nutritional Balance
Milk & Milk products,Almond milk,Take,Increases Lactobacillus
Milk & Milk products,Oats milk,Take,Increases Lactobacillus
Milk & Milk products,Tea,Avoid,Nutritional Balance
Milk & Milk products,Coffee,Avoid,Nutritional Balance
Milk & Milk products,Skim milk,Take,Increases Lactobacillus
Milk & Milk products,Curd,Take,"Increases Lactobacillus, Bifidobacterium, Dorea"
Milk & Milk products,Yoghurt,Take,"Increases Lactobacillus, Bifidobacterium, Dorea"