#OTU ID,Bacteria Tag 1 in Report,Positive Impact,Bacteria Tag 2 in Report,Bacteria Tag 3 in Report,Bacteria Type In Paper,Bacteria Type in Paper,Metabolites/SCFAs,Others,,,,
[Eubacterium]_coprostanoligenes_group,Cholesterol Metaboliser,Yes,,,Cholesterol Metaboliser,,,,,,,
[Ruminococcus]_gnavus_group,Dietary Fibre Degrader,Yes,,,Dietary Fibre Degrader,,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10112845/,,,
[Ruminococcus]_gnavus_group,Insulin Metabolism,No,,,,,,,,,,
[Ruminococcus]_gnavus_group,Insulin Metabolism,No,,,,,,,,,,
Acidaminococcus,Carbohydrate Fermenter,Yes,,,Carbohydrate Fermentation,Vitamin Synthesis,,,"https://www.sciencedirect.com/topics/agricultural-and-biological-sciences/acidaminococcus#:~:text=This%20includes%20(i)%20synthesis%20of,and%20enterohepatic%20circulation%20of%20xenobiotics%2C%20(",,,
Acidaminococcus,Nutrient Synthesis,Yes,,,,,,,,,,
Actinomyces,Protein Metabolism,Yes,,,,,,"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6352118/#:~:text=Protein%20fermentation%20by%20gut%20microbiota,gut%20and%20in%20systemic%20circulation.",,,,
Agathobacter,Dietary Fibre Degrader,Yes,,,Plant Fibre Fermenter,,,https://link.springer.com/article/10.1007/s00253-021-11627-x,,,,
Akkermansia,Immunity,Yes,,,Probiotic,Mucin Degrador,,,,,,
Akkermansia,Gut Function,Yes,,,,,,,,,,
Akkermansia,Probiotic,Yes,,,,,,,,,,
Alistipes,Protein Metabolism,Yes,Carbohydrate Fermenter,,Protein Fermenter,"Complex Carbohydrates Fermenter, BMI Impactor","Acetate, propionate, and butyrate",,,,,
Alistipes,Carbohydrate Fermenter,Yes,,,,,,,,,,
Alistipes,Weight Influencer,No,,,,,,,,,,
Alloprevotella,Immunity,Yes,,,Immune Functioning-Good,,"Succinic acid, acetic acid",https://www.researchgate.net/publication/228105320_Alloprevotella_rava_gen_nov_sp_nov_isolated_from_the_human_oral_cavity_and_reclassification_of_Prevotella_tannerae_Moore_Johnson_Moore_1994_as_Alloprevotella_tannerae_gen_nov_comb_nov,,,,
Asteroleplasma,Immunity,Yes,,,Immune Functioning-Good,Probiotic,,https://ard.bmj.com/content/78/Suppl_1/A45.2,https://www.frontiersin.org/journals/microbiology/articles/10.3389/fmicb.2022.914124/full,,,
Asteroleplasma,Insulin Metabolism,No,,,,,,,,,,
Asteroleplasma,Probiotic,Yes,,,,,,,,,,
Bacteroides,Protein Metabolism,Yes,,,Protein Degrader,,,"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6352118/#:~:text=Protein%20fermentation%20by%20gut%20microbiota,gut%20and%20in%20systemic%20circulation.",,,,
Barnesiella,Dietary Fibre Degrader,Yes,,,Dietary Fibre Fermenter,,,,,,,
Bifidobacterium,Immunity,Yes,Insulin Metabolism-Neg,Lactic Acid Producer,Probiotic,Insulin Metablism Bad,,,,,,
Bifidobacterium,Insulin Metabolism,No,,,,,,,,,,
Bifidobacterium,Lactic Acid Producer,Yes,,,,,,,,,,
Bifidobacterium,Probiotic,Yes,,,,,,,,,,
Blautia,Immunity,Yes,Dietary Fibre Degrader,Energy Producers,"Probiotic, Plant Fibre Degrader","Insulin Metablism Bad,  Weight REgulator Good","Butyric AcidAcetic acid, succinic acid, lactic acid",Degrading of herbal plants and fucntional foods,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7872077/,https://www.sciencedirect.com/topics/medicine-and-dentistry/blautia,"Blautia is a gut microbial genus that produces butyric acid and acetic acid,38 which decrease obesity by regulating G-protein coupled receptors (GPR) 41 and 43",https://www.nature.com/articles/s41522-019-0101-x
Blautia,Dietary Fibre Degrader,Yes,,,,,,,,,,
Blautia,Energy Producers,Yes,,,,,,,,,,
Blautia,Weight Influencer,Yes,,,,,,,,,,
CAG-56,,,,,,,,,,,,
Catenibacter,Carbohydrate Fermenter,Yes,,,Glucose fermentation,,,"Acetic, lactic, butyric and isobutyric acid.",https://www.midasfieldguide.org/guide/fieldguide/genus/catenibacterium,,,
Catenibacter,Glucose Fermenter,Yes,,,,,,,,,,
Christensenellaceae_R-7_group,Weight Influencer,Yes,,,Weight Regulator,,,https://bmcbiol.biomedcentral.com/articles/10.1186/s12915-019-0699-4,,,,
Clostridia_UCG-014,Dietary Fibre Degrader,Yes,Energy Producers,,Dietary Fibre Fermenter,,Butyrate,,,,,
Clostridia_UCG-014,Energy Producers,Yes,,,,,,,,,,
Clostridium,Protein Metabolism,Yes,,,,,,"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6352118/#:~:text=Protein%20fermentation%20by%20gut%20microbiota,gut%20and%20in%20systemic%20circulation.",,,,
Clostridium sensu stricto 1,Carbohydrate Fermenter,Yes,Protein Metabolism,,Carbohydrate Fermentation,"Amino Acid Metabolism, BMI Impactor","acetate, propionate, and butyrate","Comparative genomic analysis and proposal of Clostridium yunnanense sp. nov., Clostridium rhizosphaerae sp. nov., and Clostridium paridis sp. nov., three novel Clostridium sensu stricto endophytes with diverse capabilities of acetic acid and ethanol production - ScienceDirect",,,Discrepant gut microbiota markers for the classification of obesity-related metabolic abnormalities | Scientific Reports,
Clostridium sensu stricto 1,Protein Metabolism,Yes,,,,,,,,,,
Coprococcus,Insulin Metabolism,Yes,Energy Producers,,,Insulin Metablism Good,https://www.sciencedirect.com/topics/medicine-and-dentistry/blautia,Gut microbial carbohydrate metabolism contributes to insulin resistance | Nature,,,,
Coprococcus,Energy Producers,Yes,,,,,,,,,,
Desulfovibrio,Gas Production,Yes,Insulin Metabolism-Neg,,Gas Producer,Insulin Resistent,,,,,,
Desulfovibrio,Insulin Metabolism,No,,,,,,,,,,
Dialister,Dietary Fibre Degrader,Yes,Gut Inflammation,,Dietary Fibre Degrader,Gut Inflammation,,https://pubmed.ncbi.nlm.nih.gov/27390077/,,,,
Dialister,Gut Inflammation,No,,,,,,,,,,
Dorea,Protein Metabolism,Yes,,,Protein Degrader,,,Profiling of Protein Degraders in Cultures of Human Gut Microbiota - PMC,,,,
Dorea,Weight Influencer,No,,,,,,,,,,
Enterobacter,Protein Metabolism,Yes,,,Protein Degrader,,,,,,,
Enterococcus,Lactic Acid Producer,Yes,,Lactic Acid Producer,,,,,,,,
Erysipelotrichaceae_UCG-003,Healthy Ageing,Yes,,,Healthy Ageing,,,,,,,
Escherichia-Shigella,Pathogen,Yes,Protein Metabolism,Insulin Metabolism-Neg,"Pathogen, Protein Degrader",Insulin Metablism Bad,,,,,,
Escherichia-Shigella,Protein Metabolism,Yes,,,,,,,,,,
Escherichia-Shigella,Insulin Metabolism,No,,,,,,,,,,
Faecalibacterium,Dietary Fibre Degrader,Yes,Energy Producers,,Dietary Fibre Degrader,,Butyrate ,https://www.sciencedirect.com/topics/medicine-and-dentistry/faecalibacterium,https://academic.oup.com/femsre/article/47/4/fuad039/7224591,https://www.tandfonline.com/doi/full/10.1080/19490976.2021.1993582,,
Faecalibacterium,Energy Producers,Yes,,,,,,,,,,
Fusicatenibacter,Carbohydrate Fermenter,Yes,,,Glucose fermentater,,"Lactic acid, acetic acid and succinic acid",https://www.midasfieldguide.org/guide/fieldguide/genus/fusicatenibacter,,,,
Fusicatenibacter,Glucose fermentater,Yes,,,,,,,,,,
Fusobacterium,Fat Intake,Yes,Protein Metabolism,,Dietary Fat Intake,,,Dietary Fatty Acid Intake and the Colonic Gut Microbiota in Humans - PMC,"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6352118/#:~:text=Protein%20fermentation%20by%20gut%20microbiota,gut%20and%20in%20systemic%20circulation.",,,
Fusobacterium,Protein Metabolism,Yes,,,,,,,,,,
Haemophilus,Pathogen,Yes,,,Pathogen,,040 29550942,,,,,
Klebsiella,Pathogen,Yes,Protein Metabolism,,"Pathogen, Protein Degrader",,,,,,,
Klebsiella,Protein Metabolism,Yes,,,,,,,,,,
Lachnoclostridium,Protein Metabolism,Yes,,,Protein Degrader,,,Profiling of Protein Degraders in Cultures of Human Gut Microbiota - PMC,,,,
Lachnospira,Carbohydrate Fermenter,Yes,Energy Producers,,Carbohydrate Fermentation,Butyrate Producer,,,"https://www.sciencedirect.com/topics/agricultural-and-biological-sciences/lachnospira#:~:text=In%20the%20case%20of%20Lachnospira,form%20one%20mole%20of%20butyrate.",https://pubmed.ncbi.nlm.nih.gov/36226673/,,
Lachnospira,Energy Producers,Yes,,,,,,,,,,
Lacticaseibacillus,Immunity,Yes,,Lactic Acid Producer,Probiotic,Lactic Acid Bacteria,,,,,,
Lactiplantibacillus,Lactic Acid Producer,Yes,,Lactic Acid Producer,Probiotic,Lactic Acid Bacteria,Respiratory Impacters,,,,,
Lactiplantibacillus,Probiotic,Yes,,,,,,,,,,
Lactiplantibacillus,Respiratory Impactor,Yes,,,,,,,,,,
Lactobacillus,Insulin Metabolism,No,Insulin Metabolism-Neg,Lactic Acid Producer,"Probiotic, Lactic Acid Bacteria",Insulin Metablism Bad,,,,,,
Lactobacillus,Lactic Acid Producer,Yes,,,,,,,,,,
Lactobacillus,Probiotic,Yes,,,,,,,,,,
Lactococcus,Immunity,Yes,,Lactic Acid Producer,,,,,,,,
Lactococcus,Lactic Acid Producer,Yes,,,,,,,,,,
Megamonas,Dietary Fibre Degrader,Yes,Insulin Metabolism-Neg,,Plant Fibre Degrader,Insulin Metablism Bad,Propionate,Effect of Plant-Based Diets on Gut Microbiota: A Systematic Review of Interventional Studies,"All of the branched-chain amino acids (VAL, ILE, and LEU) were shown to have a positive correlation with Megamonas in vegans.",Fermentation characteristics and probiotic activity of a purified fraction of polysaccharides from Fuzhuan brick tea - ScienceDirect,,
Megamonas,Insulin Metabolism,No,,,,,,,,,,
Megasphaera,Dietary Fibre Degrader,Yes,Insulin Metabolism-Neg,,Plant Fibre Degrader,Insulin Metablism Bad,"Acetate, Propionate, Butyrate","Co2, H2",https://sci-hub.se/10.1016/j.foodres.2021.110453,,,
Megasphaera,Insulin Metabolism,No,,,,,,,,,,
Methanobrevibacter,Gas Production,No,,,Gas Producer,,,,,,,
NK4A214_group,Heart Health Influencer,No,,,Heart Health Influencer,,,,,,,
Parabacteroides,Carbohydrate Fermenter,Yes,,,Carbohydrate Fermentation,,,,https://academic.oup.com/femsle/article/369/1/fnac072/6659190,,,
Paucilactobacillus,Immunity,Yes,,,Probiotic,Lactic Acid Bacteria,,,,,,
Paucilactobacillus,Lactic Acid Producer,Yes,,,,,,,,,,
Pediococcus,Carbohydrate Fermenter,Yes,,Lactic Acid Producer,Carbohydrate Fermentation,Lactic Acid Bacteria,,https://www.sciencedirect.com/topics/food-science/pediococcus,,,,
Pediococcus,Lactic Acid Producer,Yes,,,,,,,,,,
Phascolarctobacterium,Insulin Metabolism,No,,,Insulin Metabolism Good,,Propionate & Acetate,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9622494/,https://www.sciencedirect.com/topics/agricultural-and-biological-sciences/phascolarctobacterium,,,
Prevotella,Dietary Fibre Degrader,Yes,,,Plant Fibre Metaboliser,Carbohydrate Fermentation,,Western and non-western gut microbiomes reveal new roles of Prevotella in carbohydrate metabolism and mouthâ€“gut axis,,,,
Propionibacterium,Protein Metabolism,Yes,,,,,,"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6352118/#:~:text=Protein%20fermentation%20by%20gut%20microbiota,gut%20and%20in%20systemic%20circulation.",,,,
Romboutsia,Protein Metabolism,Yes,Weight Influencer-Neg,,Protein Degrader,BMI Impactor,,Profiling of Protein Degraders in Cultures of Human Gut Microbiota - PMC,,,https://www.nature.com/articles/s41598-019-49462-w,
Roseburia,Insulin Metabolism,No,Weight Influencer-Neg,Energy Producers,Insulin Metablism Bad,BMI Enabler,,https://www.sciencedirect.com/topics/medicine-and-dentistry/blautia,,,,
Roseburia,Weight Influencer,No,,,,,,,,,,
Roseburia,Energy Producers,Yes,,,,,,,,,,
UCG-002,Heart Health Influencer,No,,,Polyphenol Metaboliser,,,Naturally Lignan-Rich Foods: A Dietary Tool for Health Promotion? - PMC,,,,
Succinivibrio,Carbohydrate Fermenter,Yes,,,Carbohydrate Fermentation,,"succinic, acetic, formic and lactic",Bacteremia due to Succinivibrio dextrinosolvens. Report of a case,,https://www.midasfieldguide.org/guide/fieldguide/genus/succinivibrio,,
Sutterella,Fat Intake,No,,,Dietary Fat Intake,,,Energy producers,,,,
Tyzzerella,Fat Intake,No,,,Dietary Fat Intake,,,Dietary Fatty Acid Intake and the Colonic Gut Microbiota in Humans - PMC,,,,
Streptococcus,Immunity,Yes,,Lactic Acid Producer,Lactic Acid Bacteria,,,https://academic.oup.com/femsec/article/85/2/376/479890,,,,
Streptococcus,Lactic Acid Producer,Yes,,,,,,,,,,
Streptococcus,Insulin Metabolism,No,,,,,,,,,,
Subdoligranulum,Heart Health Influencer,Yes,,,HDL-cholesterol levels-Good,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7744154/,,,,
Mitsuokella,Carbohydrate Fermenter,Yes,,,Carbohydrate fermenters,,"acetate, lactate, succinate",https://www.midasfieldguide.org/guide/fieldguide/genus/mitsuokella,,,,
Holdemanella,Carbohydrate Fermenter,Yes,Immunity,,"Glucose fermentater, Immune Functioning Good",,,https://www.midasfieldguide.org/guide/fieldguide/genus/holdemanella,,,,
Holdemanella,Immunity,Yes,,,,,,,,,,
Anaerostipes,Carbohydrate Fermenter,Yes,Energy Producers,,Energy producers,,"butyrate, propionate and acetate",https://www.nature.com/articles/s41467-021-25081-w,,,,
Anaerostipes,Energy Producers,Yes,,,,,,,,,,
Veillonella,Carbohydrate Fermenter,Yes,Energy Producers,,Energy producers,,,https://academic.oup.com/femsec/article/85/2/376/479890,,,,
Veillonella,Energy Producers,Yes,,,,,,,,,,
[Eubacterium]_hallii_group ,Immunity,Yes,Inflammation,,,,,https://www.sciencedirect.com/topics/agricultural-and-biological-sciences/eubacterium-hallii,,,,
[Eubacterium]_hallii_group ,Probiotic,Yes,,,,,,https://www.sciencedirect.com/science/article/abs/pii/S0963996921006153,,,,
Lachnospiraceae_NK4A136_group,Weight Influencer,Yes,,,,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8231825/,,,,
CAG-352,Dietary Fibre Degrader,Yes,,,,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10479438/,,,,
[Eubacterium]_eligens_group,Immunity,Yes,,,,,,,,https://academic.oup.com/femsec/article/93/11/fix127/4331632?login=false,,
Rummeliibacillus,Lactic Acid Producer,Yes,,,,,,,,,,
Odoribacter,Healthy Aging,Yes,,,,,,,,,,
Turicibacter,,,,,,,,,,,,
Weissella,,,,,,,,,,,,
Intestinibacter,Gut Health,No,,,,,,https://pmc.ncbi.nlm.nih.gov/articles/PMC8902753/,,,,
Monoglobus,,,,,,,,,,,,
Erysipelatoclostridium,,,,,,,,,,,,
[Eubacterium]_ruminantium_group,,,,,,,,,,,,
Clostridia_vadinBB60_group,Heart Health Influencer,Yes,,,,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8584954/,,,,
Clostridia_vadinBB60_group,Insulin Resistence,Yes,,,,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8584954/,,,,
Gastranaerophilales,Heart Health Influencer,No,,,,,,https://journals.lww.com/md-journal/fulltext/2024/07190/causal_relationship_between_gut_microbiota_and.6.aspx,,,,
Liquorilactobacillus,Lactic Acid Producer,Yes,,,,,,,,,,
Schleiferilactobacillus,Lactic Acid Producer,Yes,,,,,,,,,,
Selenomonas,,,,,,,,,,,,
Olsenella,,,,,,,,,,,,
Butyricicoccus,,,,,,,,,,,,
Butyrivibrio,Gut Health,Yes,,,,,,,,,,
Rikenellaceae_RC9_gut_group,Gut Health,No,,,,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10211348/,,,,
UCG-005,Gut Health,Yes,,,,,,https://academic.oup.com/femsec/article/93/12/fix153/4604777?login=false,,,,
Hungatella,,,,,,,,,,,,
Parasutterella,Heart Health Influencer,Yes,,,,,,https://bmcnutr.biomedcentral.com/articles/10.1186/s40795-020-00398-9,,,,
[Eubacterium]_ventriosum_group,,,,,,,,,,,,
Kluyvera,,,,,,,,,,,,
